rel_thres,strategy,dataset,model,fold,sera_score,config
0.84,RU,data\a1,RandomForestRegressor,7,23.081511174999992,fixed_params
0.84,RU,data\a1,RandomForestRegressor,8,6615.131632855,fixed_params
0.84,RU,data\a1,RandomForestRegressor,9,5356.943449745003,fixed_params
0.84,RU,data\a1,RandomForestRegressor,10,2266.1905936499966,fixed_params
0.84,RU,data\a1,RandomForestRegressor,11,1488.5838565799993,fixed_params
0.84,RU,data\a1,RandomForestRegressor,12,3230.8668755449967,fixed_params
0.84,RU,data\a1,RandomForestRegressor,13,47.044270335,fixed_params
0.84,RU,data\a1,RandomForestRegressor,14,44.58596672000001,fixed_params
0.84,RU,data\a1,RandomForestRegressor,15,40.07351249499999,fixed_params
0.84,RU,data\a1,RandomForestRegressor,16,2729.3538651199983,fixed_params
0.84,RU,data\a1,RandomForestRegressor,17,267.64413113999996,fixed_params
0.84,RU,data\a1,RandomForestRegressor,18,3427.708081360003,fixed_params
0.84,RU,data\a1,RandomForestRegressor,19,3139.632090244999,fixed_params
0.84,RU,data\a1,SVR,0,68.91486270501694,fixed_params
0.84,RU,data\a1,SVR,1,3837.5512659875976,fixed_params
0.84,RU,data\a1,SVR,2,7586.995262524248,fixed_params
0.84,RU,data\a1,SVR,3,5035.549193009221,fixed_params
0.84,RU,data\a1,SVR,4,37.84299307354532,fixed_params
0.84,RU,data\a1,SVR,5,62.357473362552014,fixed_params
0.84,RU,data\a1,SVR,6,3594.5906304812224,fixed_params
0.84,RU,data\a1,SVR,7,22.514514610408927,fixed_params
0.84,RU,data\a1,SVR,8,11912.380311059875,fixed_params
0.84,RU,data\a1,SVR,9,13249.978960686538,fixed_params
0.84,RU,data\a1,SVR,10,8684.492507172668,fixed_params
0.84,RU,data\a1,SVR,11,3843.9405306450153,fixed_params
0.84,RU,data\a1,SVR,12,8837.658960683184,fixed_params
0.84,RU,data\a1,SVR,13,68.7951948366581,fixed_params
0.84,RU,data\a1,SVR,14,68.30243515783022,fixed_params
0.84,RU,data\a1,SVR,15,42.991428825813095,fixed_params
0.84,RU,data\a1,SVR,16,5318.8993956807035,fixed_params
0.84,RU,data\a1,SVR,17,3499.151736993965,fixed_params
0.84,RU,data\a1,SVR,18,9294.621721757898,fixed_params
0.84,RU,data\a1,SVR,19,7327.164419433096,fixed_params
